HIRAGANA,KANJI,ENGLISH,KANJI MEANINGS,LESSION SECTION,CATAEGORY
くがつ*,九月,September,Nine - Moon,Genki 1::L04::04 Months_8,Months
じゅうがつ,十月,October,Ten - Moon,Genki 1::L04::04 Months_9,Months
じゅういちがつ,十一月,November,Ten - One - Moon,Genki 1::L04::04 Months_10,Months
じゅうにがつ,十二月,December,Ten - Two - Moon,Genki 1::L04::04 Months_11,Months
おととい,,the day before yesterday,,Genki 1::L04::05 Time Words_0,Useful_Expressions
きのう,,yesterday,,Genki 1::L04::05 Time Words_1,Useful_Expressions
せんしゅう,,last week,,Genki 1::L04::05 Time Words_2,Useful_Expressions
きょう,今日,today,Now - Sun,Genki 1::L04::05 Time Words_3,Useful_Expressions
あした,明日,tomorrow,Bright - Sun,Genki 1::L04::05 Time Words_4,Useful_Expressions
あさって,,the day after tomorrow,,Genki 1::L04::05 Time Words_5,Useful_Expressions
にしゅうかんまえ,,two weeks ago,,Genki 1::L04::05 Time Words_6,Useful_Expressions
せんしゅう,先週,last week,Previous - Week,Genki 1::L04::05 Time Words_7,Useful_Expressions
こんしゅう,,this week,,Genki 1::L04::05 Time Words_8,Useful_Expressions
らいしゅう,,next week,,Genki 1::L04::05 Time Words_9,Useful_Expressions
さらいしゅう,,the week after next,,Genki 1::L04::05 Time Words_10,Useful_Expressions
にかげつまえ,,two months ago,,Genki 1::L04::05 Time Words_11,Useful_Expressions
せんげつ,,last month,,Genki 1::L04::05 Time Words_12,Useful_Expressions
こんげつ,,this month,,Genki 1::L04::05 Time Words_13,Useful_Expressions
らいげつ,,next month,,Genki 1::L04::05 Time Words_14,Useful_Expressions
さらいげつ,,the month after next,,Genki 1::L04::05 Time Words_15,Useful_Expressions
おととし,,the year before last,,Genki 1::L04::05 Time Words_16,Useful_Expressions
きょねん,,last year,,Genki 1::L04::05 Time Words_17,Useful_Expressions
ことし,,this year,,Genki 1::L04::05 Time Words_18,Useful_Expressions
らいねん,,next year,,Genki 1::L04::05 Time Words_19,Useful_Expressions
さらいねん,,the year after next,,Genki 1::L04::05 Time Words_20,Useful_Expressions
たべもの,食べ物,food,Eat - べ - Thing,Genki 1::L05::01 Vocabulary_0,Nouns
のみもの,飲み物,drink,Drink - み - Thing,Genki 1::L05::01 Vocabulary_1,Nouns
くだもの,果物,fruit,Fruit - Thing,Genki 1::L05::01 Vocabulary_2,Nouns
やすみ,休み,holiday; day off; absence,Rest - み,Genki 1::L05::01 Vocabulary_3,Nouns
りょこう,旅行,travel,Trip - Go,Genki 1::L05::01 Vocabulary_4,Nouns
うみ,海,sea,Sea,Genki 1::L05::01 Vocabulary_5,Nouns
サーフィン,,surfing,,Genki 1::L05::01 Vocabulary_6,Nouns
おみやげ,お土産,souvenir,お - Dirt - Give Birth,Genki 1::L05::01 Vocabulary_7,Nouns
バス,,bus,,Genki 1::L05::01 Vocabulary_8,Nouns
てんき,天気,weather,Heaven - Energy,Genki 1::L05::01 Vocabulary_9,Nouns
しゅくだい,宿題,homework,Lodge - Topic,Genki 1::L05::01 Vocabulary_10,Nouns
テスト,,test,,Genki 1::L05::01 Vocabulary_11,Nouns
たんじょうび,誕生日,birthday,Birth - Life - Sun,Genki 1::L05::01 Vocabulary_12,Nouns
へや,部屋,room,Part - Roof,Genki 1::L05::01 Vocabulary_13,Nouns
ぼく,僕,I (used by men),I,Genki 1::L05::01 Vocabulary_14,Nouns
Lサイズ（エルサイズ）,,size L,,Genki 1::L05::01 Vocabulary_15,Nouns
あたらしい,新しい,new,New - しい,Genki 1::L05::01 Vocabulary_16,い-adjectives
ふるい,古い,old (thing - not used for people),Old - い,Genki 1::L05::01 Vocabulary_17,い-adjectives
あつい,暑い (weather) 熱い (thing),hot,Hot - い (weather)  - Heat - い (thing),Genki 1::L05::01 Vocabulary_18,い-adjectives
さむい,寒い,cold (weather - not used for things),Cold - い,Genki 1::L05::01 Vocabulary_19,い-adjectives
いそがしい,忙しい,busy (people/days),Busy - しい,Genki 1::L05::01 Vocabulary_20,い-adjectives
おおきい,大きい,large,Big - きい,Genki 1::L05::01 Vocabulary_21,い-adjectives
ちいさい,小さい,small,Small - さい,Genki 1::L05::01 Vocabulary_22,い-adjectives
おもしろい,面白い,interesting; funny,Face - White - い,Genki 1::L05::01 Vocabulary_23,い-adjectives
つまらない,,boring,,Genki 1::L05::01 Vocabulary_24,い-adjectives
やさしい,,easy (problem); kind (person),,Genki 1::L05::01 Vocabulary_25,い-adjectives
むずかしい,難しい,difficult,Difficult - しい,Genki 1::L05::01 Vocabulary_26,い-adjectives
かっこいい,,good-looking (conjugates like いい),,Genki 1::L05::01 Vocabulary_27,い-adjectives
こわい,怖い,frightening,Scary - い,Genki 1::L05::01 Vocabulary_28,い-adjectives
たのしい,楽しい,fun,Comfort - しい,Genki 1::L05::01 Vocabulary_29,い-adjectives
やすい,安い,inexpensive; cheap (thing),Relax - い,Genki 1::L05::01 Vocabulary_30,い-adjectives
すき（な）,好き,fond of; to like (〜が),Like - き,Genki 1::L05::01 Vocabulary_31,な-adjectives
きらい（な）,嫌い,disgusted with; to dislike (〜が),Dislike - い,Genki 1::L05::01 Vocabulary_32,な-adjectives
だいすき（な）,大好き,very fond of; to love (〜が),Big - Like - き,Genki 1::L05::01 Vocabulary_33,な-adjectives
だいきらい（な）,大嫌い,to hate (〜が),Big - Dislike - い,Genki 1::L05::01 Vocabulary_34,な-adjectives
きれい（な）,,beautiful; clean,,Genki 1::L05::01 Vocabulary_35,な-adjectives
げんき（な）,元気,healthy; energetic,Origin - Energy,Genki 1::L05::01 Vocabulary_36,な-adjectives
しずか（な）,静か,quiet,Quiet - か,Genki 1::L05::01 Vocabulary_37,な-adjectives
にぎやか（な）,,lively,,Genki 1::L05::01 Vocabulary_38,な-adjectives
ひま（な）,暇,not busy; free (time),Spare Time,Genki 1::L05::01 Vocabulary_39,な-adjectives
およぐ,泳ぐ,to swim,Swim - ぐ,Genki 1::L05::01 Vocabulary_40,U-verbs
きく,聞く,to listen; to hear (〜を); to ask (<i>person</i>&nbsp;に),Hear - く,Genki 1::L05::01 Vocabulary_41,U-verbs
のる,乗る,to ride; to board (〜に),Ride - る,Genki 1::L05::01 Vocabulary_42,U-verbs
やる,,to do; to perform (〜を),,Genki 1::L05::01 Vocabulary_43,U-verbs
でかける,出かける,to go out,Exit - かける,Genki 1::L05::01 Vocabulary_44,Ru-verbs
いっしょに,一緒に,together,One - Together - に,Genki 1::L05::01 Vocabulary_45,Adverbs_and_Other_Expressions
すごく,,extremely,,Genki 1::L05::01 Vocabulary_46,Adverbs_and_Other_Expressions
だいじょうぶ,大丈夫,It's okay; Not to worry; Everything is under control.,Big - Height - Husband,Genki 1::L05::01 Vocabulary_47,Adverbs_and_Other_Expressions
とても,,very,,Genki 1::L05::01 Vocabulary_48,Adverbs_and_Other_Expressions
どんな,,what kind of ...,,Genki 1::L05::01 Vocabulary_49,Adverbs_and_Other_Expressions
〜まい,〜枚,[counter for flat objects],〜 - Flat Objects Counter,Genki 1::L05::01 Vocabulary_50,Adverbs_and_Other_Expressions
かんじ,漢字,kanji; Chinese character,Chinese - Letter,Genki 1::L06::01 Vocabulary_0,Nouns
きょうかしょ,教科書,textbook,Teach - Course - Write,Genki 1::L06::01 Vocabulary_1,Nouns
ページ,,page,,Genki 1::L06::01 Vocabulary_2,Nouns
つぎ,次,next,Next,Genki 1::L06::01 Vocabulary_3,Nouns
おかね,お金,money,お - Gold,Genki 1::L06::01 Vocabulary_4,Nouns
にもつ,荷物,baggage,Luggage - Thing,Genki 1::L06::01 Vocabulary_5,Nouns
パソコン,,personal computer,,Genki 1::L06::01 Vocabulary_6,Nouns
シャワー,,shower,,Genki 1::L06::01 Vocabulary_7,Nouns
エアコン,,air conditioner,,Genki 1::L06::01 Vocabulary_8,Nouns
でんき,電気,electricity; light,Electricity - Energy,Genki 1::L06::01 Vocabulary_9,Nouns
まど,窓,window,Window,Genki 1::L06::01 Vocabulary_10,Nouns
でんしゃ,電車,train,Electricity - Car,Genki 1::L06::01 Vocabulary_11,Nouns
くに,国,country; place of origin,Country,Genki 1::L06::01 Vocabulary_12,Nouns
こんしゅう,今週,this week,Now - Week,Genki 1::L06::01 Vocabulary_13,Nouns
らいしゅう,来週,next week,Come - Week,Genki 1::L06::01 Vocabulary_14,Nouns
らいねん,来年,next year,Come - Year,Genki 1::L06::01 Vocabulary_15,Nouns
よる,夜,night,Night,Genki 1::L06::01 Vocabulary_16,Nouns
たいへん（な）,大変,tough (situation),Big - Change,Genki 1::L06::01 Vocabulary_17,な-adjectives
あそぶ,遊ぶ,to play; to spend time pleasantly,Play - ぶ,Genki 1::L06::01 Vocabulary_18,U-verbs
いそぐ,急ぐ,to hurry,Hurry - ぐ,Genki 1::L06::01 Vocabulary_19,U-verbs
かえす,返す,to return (a thing) (<i>person</i>&nbsp;に <i>thing</i>&nbsp;を),Return - す,Genki 1::L06::01 Vocabulary_20,U-verbs
けす,消す,to turn off; to erase (〜を),Extinguish - す,Genki 1::L06::01 Vocabulary_21,U-verbs
しぬ,死ぬ,to die,Death - ぬ,Genki 1::L06::01 Vocabulary_22,U-verbs
すわる,座る,to sit down (<i>seat</i>&nbsp;に),Sit - る,Genki 1::L06::01 Vocabulary_23,U-verbs
たつ,立つ,to stand up,Stand - つ,Genki 1::L06::01 Vocabulary_24,U-verbs
たばこをすう,たばこを吸う,to smoke,たばこを - Suck - う,Genki 1::L06::01 Vocabulary_25,U-verbs
つかう,使う,to use (〜を),Use - う,Genki 1::L06::01 Vocabulary_26,U-verbs
てつだう,手伝う,to help (<i>person</i>/<i>task</i>&nbsp;を),Hand - Transmit - う,Genki 1::L06::01 Vocabulary_27,U-verbs
はいる,入る,to enter (〜に),Enter - る,Genki 1::L06::01 Vocabulary_28,U-verbs
もつ,持つ,to carry; to hold (〜を),Hold - つ,Genki 1::L06::01 Vocabulary_29,U-verbs
やすむ,休む,(1) to be absent (from ...) (〜を)<div>(2) to rest</div>,Rest - む,Genki 1::L06::01 Vocabulary_30,U-verbs
あける,開ける,to open (something) (〜を),Open - ける,Genki 1::L06::01 Vocabulary_31,Ru-verbs
しめる,閉める,to close (something) (〜を),Closed - める,Genki 1::L06::01 Vocabulary_32,Ru-verbs
おしえる,教える,to teach; to instruct (person に thing を),Teach - える,Genki 1::L06::01 Vocabulary_33,Ru-verbs
わすれる,忘れる,to forget; to leave behind (〜を),Forget - れる,Genki 1::L06::01 Vocabulary_34,Ru-verbs
おりる,降りる,to get off (〜を),Descend - りる,Genki 1::L06::01 Vocabulary_35,Ru-verbs
かりる,借りる,to borrow (person に thing を),Borrow - りる,Genki 1::L06::01 Vocabulary_36,Ru-verbs
シャワーをあびる,シャワーを浴びる,to take a shower,シャワーを - Bathe - びる,Genki 1::L06::01 Vocabulary_37,Ru-verbs
つける,,to turn on (〜を),,Genki 1::L06::01 Vocabulary_38,Ru-verbs
でんわする,電話する,to call (〜に),Electricity - Talk - する,Genki 1::L06::01 Vocabulary_39,Irregular_Verbs
つれてくる,連れてくる,to bring (a person) (〜を),Take Along - れてくる,Genki 1::L06::01 Vocabulary_40,Irregular_Verbs
もってくる,持ってくる,to bring (a thing) (〜を),Hold - ってくる,Genki 1::L06::01 Vocabulary_41,Irregular_Verbs
あとで,後で,later on,Behind - で,Genki 1::L06::01 Vocabulary_42,Adverbs_and_Other_Expressions
すぐ,,right away,,Genki 1::L06::01 Vocabulary_43,Adverbs_and_Other_Expressions
ゆっくり,,slowly; leisurely; unhurriedly,,Genki 1::L06::01 Vocabulary_44,Adverbs_and_Other_Expressions
けっこうです,結構です,That would be fine.; That wouldn't be necessary.,Bind - Set Up - です,Genki 1::L06::01 Vocabulary_45,Adverbs_and_Other_Expressions
ほんとうですか,本当ですか,Really?,Book - Correct - ですか,Genki 1::L06::01 Vocabulary_46,Adverbs_and_Other_Expressions
ひだりにまがる,,turn left,,Genki 1::L06::02 Useful Expressions_0,Useful_Expressions
みぎにまがる,,turn right,,Genki 1::L06::02 Useful Expressions_1,Useful_Expressions
まっすぐいく,,go straight,,Genki 1::L06::02 Useful Expressions_2,Useful_Expressions
みちをわたる,,cross the street,,Genki 1::L06::02 Useful Expressions_3,Useful_Expressions
ふたつめのかどをひだりにまがる,,turn left at the second corner,,Genki 1::L06::02 Useful Expressions_4,Useful_Expressions
ひとつめのしんごうをみぎにまがる,,turn right at the first traffic light,,Genki 1::L06::02 Useful Expressions_5,Useful_Expressions
みちのひだりがわ,,left side of the street,,Genki 1::L06::02 Useful Expressions_6,Useful_Expressions
みちのみぎがわ,,right side of the street,,Genki 1::L06::02 Useful Expressions_7,Useful_Expressions
きた,,north,,Genki 1::L06::02 Useful Expressions_8,Useful_Expressions
にし,,west,,Genki 1::L06::02 Useful Expressions_9,Useful_Expressions
ひがし,,east,,Genki 1::L06::02 Useful Expressions_10,Useful_Expressions
みなみ,,south,,Genki 1::L06::02 Useful Expressions_11,Useful_Expressions
かぞく,家族,family,House - Tribe,Genki 1::L07::01 Vocabulary_0,Nouns
おじいさん,,grandfather; old man,,Genki 1::L07::01 Vocabulary_1,Nouns
おばあさん,,grandmother; old woman,,Genki 1::L07::01 Vocabulary_2,Nouns
おにいさん,お兄さん,older brother,お - Older Brother - さん,Genki 1::L07::01 Vocabulary_3,Nouns
おねえさん,お姉さん,older sister,お - Older Sister - さん,Genki 1::L07::01 Vocabulary_4,Nouns
ちち,父,(my) father,Father,Genki 1::L07::01 Vocabulary_5,Nouns
はは,母,(my) mother,Mother,Genki 1::L07::01 Vocabulary_6,Nouns
あに,兄,(my) older brother,Older Brother,Genki 1::L07::01 Vocabulary_7,Nouns
あね,姉,(my) older sister,Older Sister,Genki 1::L07::01 Vocabulary_8,Nouns
いもうと,妹,younger sister,Younger Sister,Genki 1::L07::01 Vocabulary_9,Nouns
おとうと,弟,younger brother,Younger Brother,Genki 1::L07::01 Vocabulary_10,Nouns
きょうだい,兄弟,brothers and sisters,Older Brother - Younger Brother,Genki 1::L07::01 Vocabulary_11,Nouns
おとこのひと,男の人,man,Man - の - Person,Genki 1::L07::01 Vocabulary_12,Nouns
おんなのひと,女の人,woman,Woman - の - Person,Genki 1::L07::01 Vocabulary_13,Nouns
かいしゃ,会社,company,Meet - Company,Genki 1::L07::01 Vocabulary_14,Nouns
しょくどう,食堂,cafeteria; dining commons,Eat - Hall,Genki 1::L07::01 Vocabulary_15,Nouns
デパート,,department store,,Genki 1::L07::01 Vocabulary_16,Nouns
かみ,髪,hair,Hair,Genki 1::L07::01 Vocabulary_17,Nouns
くち,口,mouth,Mouth,Genki 1::L07::01 Vocabulary_18,Nouns
め,目,eye,Eye,Genki 1::L07::01 Vocabulary_19,Nouns
めがね,眼鏡,glasses,Eyeball - Mirror,Genki 1::L07::01 Vocabulary_20,Nouns
うた,歌,song,Song,Genki 1::L07::01 Vocabulary_21,Nouns
サークル,,club activity,,Genki 1::L07::01 Vocabulary_22,Nouns
くるま,車,car,Car,Genki 1::L07::01 Vocabulary_23,Nouns
ながい,長い,long,Long - い,Genki 1::L07::01 Vocabulary_24,い-adjectives
みじかい,短い,short (length),Short - い,Genki 1::L07::01 Vocabulary_25,い-adjectives
はやい,速い,fast,Fast - い,Genki 1::L07::01 Vocabulary_26,い-adjectives
せがたかい,背が高い,tall (stature),Back - が - Tall - い,Genki 1::L07::01 Vocabulary_27,い-adjectives
せがひくい,背が低い,short (stature),Back - が - Low - い,Genki 1::L07::01 Vocabulary_28,い-adjectives
あたまがいい,頭がいい,bright; smart; clever (conjugates like いい),Head - がいい,Genki 1::L07::01 Vocabulary_29,い-adjectives
かわいい,,cute,,Genki 1::L07::01 Vocabulary_30,い-adjectives
しんせつ（な）,親切,kind,Parent - Cut,Genki 1::L07::01 Vocabulary_31,な-adjectives
べんり（な）,便利,convenient,Convenience - Profit,Genki 1::L07::01 Vocabulary_32,な-adjectives
うたう,歌う,to sing (〜を),Song - う,Genki 1::L07::01 Vocabulary_33,U-verbs
かぶる,,to put on (a hat) (〜を),,Genki 1::L07::01 Vocabulary_34,U-verbs
はく,,to put on (items below your waist) (〜を),,Genki 1::L07::01 Vocabulary_35,U-verbs
しる,知る,to get to know (〜を),Know - る,Genki 1::L07::01 Vocabulary_36,U-verbs
しっています,知っています,I know,Know - っています,Genki 1::L07::01 Vocabulary_37,U-verbs
しりません,知りません,I do not know,Know - りません,Genki 1::L07::01 Vocabulary_38,U-verbs
すむ,住む,to live (〜にすんでいます),Dwelling - む,Genki 1::L07::01 Vocabulary_39,U-verbs
はたらく,働く,to work,Work - く,Genki 1::L07::01 Vocabulary_40,U-verbs
ふとる,太る,to gain weight,Fat - る,Genki 1::L07::01 Vocabulary_41,U-verbs
ふとっています,太っています,to be on the heavy side; overweight,Fat - っています,Genki 1::L07::01 Vocabulary_42,U-verbs
（めがねを）かける,,to put on (glasses),,Genki 1::L07::01 Vocabulary_43,Ru-verbs
きる,着る,to put on (clothes above your waist) (〜を),Wear - る,Genki 1::L07::01 Vocabulary_44,Ru-verbs
やせる,,to lose weight,,Genki 1::L07::01 Vocabulary_45,Ru-verbs
やせています,,to be thin,,Genki 1::L07::01 Vocabulary_46,Ru-verbs
けっこんする,結婚する,to get married (〜と),Bind - Marriage - する,Genki 1::L07::01 Vocabulary_47,Irregular_Verbs
〜が,,"..., but",,Genki 1::L07::01 Vocabulary_48,Adverbs_and_Other_Expressions
なにも + negative,何も,not ... anything,What - も,Genki 1::L07::01 Vocabulary_49,Adverbs_and_Other_Expressions
〜にん,〜人,[counter for people],〜 - Person,Genki 1::L07::01 Vocabulary_50,Adverbs_and_Other_Expressions
ひとり,一人,one person,One - Person,Genki 1::L07::01 Vocabulary_51,Adverbs_and_Other_Expressions
ふたり,二人,two people,Two - Person,Genki 1::L07::01 Vocabulary_52,Adverbs_and_Other_Expressions
べつに + negative,別に,nothing in particular,Separate - に,Genki 1::L07::01 Vocabulary_53,Adverbs_and_Other_Expressions
もちろん,,of course,,Genki 1::L07::01 Vocabulary_54,Adverbs_and_Other_Expressions
よかったら,,if you like,,Genki 1::L07::01 Vocabulary_55,Adverbs_and_Other_Expressions
ひとり*,一人,1 Person/alone,One - Person,Genki 1::L07::02 Counting People_0,counting_people
ふたり*,二人,2 Persons/couple,Two - Person,Genki 1::L07::02 Counting People_1,counting_people
さんにん,三人,3 Persons,Three - Person,Genki 1::L07::02 Counting People_2,counting_people
よにん*,四人,4 Persons,Four - Person,Genki 1::L07::02 Counting People_3,counting_people
ごにん,五人,5 Persons,Five - Person,Genki 1::L07::02 Counting People_4,counting_people
ろくにん,六人,6 Persons,Six - Person,Genki 1::L07::02 Counting People_5,counting_people
しちにん*・ななにん,七人,7 Persons,Seven - Person,Genki 1::L07::02 Counting People_6,counting_people
はちにん,八人,8 Persons,Eight - Person,Genki 1::L07::02 Counting People_7,counting_people
きゅうにん,九人,9 Persons,Nine - Person,Genki 1::L07::02 Counting People_8,counting_people
じゅうにん,十人,10 Persons,Ten - Person,Genki 1::L07::02 Counting People_9,counting_people
かみ,,hair,,Genki 1::L07::03 Bodyparts_0,Useful_Expressions
くち,,mouth,,Genki 1::L07::03 Bodyparts_1,Useful_Expressions
め,,eye,,Genki 1::L07::03 Bodyparts_2,Useful_Expressions
はな,,nose,,Genki 1::L07::03 Bodyparts_3,Useful_Expressions
ゆび,,finger,,Genki 1::L07::03 Bodyparts_4,Useful_Expressions
は,,tooth,,Genki 1::L07::03 Bodyparts_5,Useful_Expressions
まゆげ,,eyebrows,,Genki 1::L07::03 Bodyparts_6,Useful_Expressions
みみ,,ear,,Genki 1::L07::03 Bodyparts_7,Useful_Expressions
て,,hand,,Genki 1::L07::03 Bodyparts_8,Useful_Expressions
くび,,neck,,Genki 1::L07::03 Bodyparts_9,Useful_Expressions
あたま,,head,,Genki 1::L07::03 Bodyparts_10,Useful_Expressions
せなか,,back,,Genki 1::L07::03 Bodyparts_11,Useful_Expressions
おしり,,buttocks,,Genki 1::L07::03 Bodyparts_12,Useful_Expressions
かお,,face,,Genki 1::L07::03 Bodyparts_13,Useful_Expressions
かた,,shoulder,,Genki 1::L07::03 Bodyparts_14,Useful_Expressions
むね,,breast,,Genki 1::L07::03 Bodyparts_15,Useful_Expressions
おなか,,stomach,,Genki 1::L07::03 Bodyparts_16,Useful_Expressions
あし,,leg; foot,,Genki 1::L07::03 Bodyparts_17,Useful_Expressions
はれ,晴れ,sunny weather,Clear Up - れ,Genki 1::L08::01 Vocabulary_0,Nouns
あめ,雨,rain,Rain,Genki 1::L08::01 Vocabulary_1,Nouns
くもり,曇り,cloudy weather,Cloudy - り,Genki 1::L08::01 Vocabulary_2,Nouns
ゆき,雪,snow,Snow,Genki 1::L08::01 Vocabulary_3,Nouns
てんきよほう,天気予報,weather forecast,Heaven - Energy - Beforehand - News,Genki 1::L08::01 Vocabulary_4,Nouns
きおん,気温,temperature (weather - not used for things),Energy - Warm,Genki 1::L08::01 Vocabulary_5,Nouns
なつ,夏,summer,Summer,Genki 1::L08::01 Vocabulary_6,Nouns
ふゆ,冬,winter,Winter,Genki 1::L08::01 Vocabulary_7,Nouns
けさ,今朝,this morning,Now - Morning,Genki 1::L08::01 Vocabulary_8,Nouns
あさって,,the day after tomorrow,,Genki 1::L08::01 Vocabulary_9,Nouns
まいしゅう,毎週,every week,Every - Week,Genki 1::L08::01 Vocabulary_10,Nouns
こんげつ,今月,this month,Now - Moon,Genki 1::L08::01 Vocabulary_11,Nouns
らいげつ,来月,next month,Come - Moon,Genki 1::L08::01 Vocabulary_12,Nouns
かいしゃいん,会社員,office worker,Meet - Company - Member,Genki 1::L08::01 Vocabulary_13,Nouns
しごと,仕事,job; work; occupation,Doing - Action,Genki 1::L08::01 Vocabulary_14,Nouns
カメラ,,camera,,Genki 1::L08::01 Vocabulary_15,Nouns
カラオケ,,karaoke,,Genki 1::L08::01 Vocabulary_16,Nouns
ところ,所,place,Place,Genki 1::L08::01 Vocabulary_17,Nouns
トマト,,tomato,,Genki 1::L08::01 Vocabulary_18,Nouns
はし,,chopsticks,,Genki 1::L08::01 Vocabulary_19,Nouns
パーティー,,party,,Genki 1::L08::01 Vocabulary_20,Nouns
バーベキュー,,barbecue,,Genki 1::L08::01 Vocabulary_21,Nouns
ホームステイ,,homestay; living with a local family,,Genki 1::L08::01 Vocabulary_22,Nouns
おふろ,お風呂,bath,お - Wind - Bath,Genki 1::L08::01 Vocabulary_23,Nouns
スペイン,,Spain,,Genki 1::L08::01 Vocabulary_24,Nouns
なにか,何か,something,What - か,Genki 1::L08::01 Vocabulary_25,Nouns
じょうず（な）,上手,skillful; good at ... (〜が),Above - Hand,Genki 1::L08::01 Vocabulary_26,な-adjectives
へた（な）,下手,clumsy; poor at ... (〜が),Below - Hand,Genki 1::L08::01 Vocabulary_27,な-adjectives
ゆうめい（な）,有名,famous,Have - Name,Genki 1::L08::01 Vocabulary_28,な-adjectives
あらう,洗う,to wash (〜を),Wash - う,Genki 1::L08::01 Vocabulary_29,U-verbs
いう,言う,to say,Say - う,Genki 1::L08::01 Vocabulary_30,U-verbs
いる,,to need (〜が),,Genki 1::L08::01 Vocabulary_31,U-verbs
おそくなる,遅くなる,to be late,Slow - くなる,Genki 1::L08::01 Vocabulary_32,U-verbs
おふろにはいる,お風呂に入る,to take a bath,お - Wind - Bath - に - Enter - る,Genki 1::L08::01 Vocabulary_33,U-verbs
おもう,思う,to think,Think - う,Genki 1::L08::01 Vocabulary_34,U-verbs
きる,切る,to cut (〜を),Cut - る,Genki 1::L08::01 Vocabulary_35,U-verbs
つくる,作る,to make (〜を),Make - る,Genki 1::L08::01 Vocabulary_36,U-verbs
（あめ／ゆきが）ふる,（雨／雪が）降る,(rain/snow) falls,（ - Rain - ／ - Snow - が） - Descend - る,Genki 1::L08::01 Vocabulary_37,U-verbs
もっていく,持っていく,to take (a thing) (〜を),Hold - っていく,Genki 1::L08::01 Vocabulary_38,U-verbs
すてる,捨てる,to throw away (〜を),Throw Away - てる,Genki 1::L08::01 Vocabulary_39,Ru-verbs
はじめる,始める,to begin (〜を),Begin - める,Genki 1::L08::01 Vocabulary_40,Ru-verbs
うんてんする,運転する,to drive (〜を),Carry - Revolve - する,Genki 1::L08::01 Vocabulary_41,Irregular_Verbs
せんたくする,洗濯する,to do laundry (〜を),Wash - Wash - する,Genki 1::L08::01 Vocabulary_42,Irregular_Verbs
そうじする,掃除する,to clean (〜を),Sweep - Exclude - する,Genki 1::L08::01 Vocabulary_43,Irregular_Verbs
りょうりする,料理する,to cook,Fee - Reason - する,Genki 1::L08::01 Vocabulary_44,Irregular_Verbs
うん,,uh-huh; yes,,Genki 1::L08::01 Vocabulary_45,Adverbs_and_Other_Expressions
ううん,,uh-uh; no,,Genki 1::L08::01 Vocabulary_46,Adverbs_and_Other_Expressions
いつも,,always,,Genki 1::L08::01 Vocabulary_47,Adverbs_and_Other_Expressions
おそく,遅く,(do something) late,Slow - く,Genki 1::L08::01 Vocabulary_48,Adverbs_and_Other_Expressions
かんぱい,乾杯,Cheers! (a toast),Dry - Cup Of Liquid,Genki 1::L08::01 Vocabulary_49,Adverbs_and_Other_Expressions
みんなで,,all (of the people) together,,Genki 1::L08::01 Vocabulary_50,Adverbs_and_Other_Expressions
ざんねん（ですね）,残念（ですね）,That's too bad.,Remainder - Thought - （ですね）,Genki 1::L08::01 Vocabulary_51,Adverbs_and_Other_Expressions
まだ + negative,,not ... yet,,Genki 1::L08::01 Vocabulary_52,Adverbs_and_Other_Expressions
〜について,,about ...; concerning ...,,Genki 1::L08::01 Vocabulary_53,Adverbs_and_Other_Expressions
〜ど,〜度,... degrees (temperature),〜 - Degrees,Genki 1::L08::01 Vocabulary_54,Adverbs_and_Other_Expressions
どう,,how,,Genki 1::L08::01 Vocabulary_55,Adverbs_and_Other_Expressions
ごはん,ご飯,white rice,ご - Meal,Genki 1::L08::02 Foods_0,foods
おかず,,a couple of dishes,,Genki 1::L08::02 Foods_1,foods
みそしる,みそ汁,soup,みそ - Soup,Genki 1::L08::02 Foods_2,foods
カレーライス,,Curry with rice,,Genki 1::L08::02 Foods_3,foods
おにぎり,,Rice balls,,Genki 1::L08::02 Foods_4,foods
ラーメン,,ramen noodels,,Genki 1::L08::02 Foods_5,foods
うどん,,udon noodels,,Genki 1::L08::02 Foods_6,foods
パスタ,,pasta,,Genki 1::L08::02 Foods_7,foods
ぎょうざ,,dumplings,,Genki 1::L08::02 Foods_8,foods
ぎゅうどん,牛丼,beef rice bowl,Cow - Rice Bowl,Genki 1::L08::02 Foods_9,foods
ハンバーグ,,hamburger steak,,Genki 1::L08::02 Foods_10,foods
さしみ,,raw seafood,,Genki 1::L08::02 Foods_11,foods
おこのみやき,お好み焼き,savory pancake,お - Like - み - Bake - き,Genki 1::L08::02 Foods_12,foods
いちご,,strawberry,,Genki 1::L08::03 Supermarket_0,supermarket
すいか,,watermelon,,Genki 1::L08::03 Supermarket_1,supermarket
みかん,,mandarin orange,,Genki 1::L08::03 Supermarket_2,supermarket
りんご,,apple,,Genki 1::L08::03 Supermarket_3,supermarket
もも,,peach,,Genki 1::L08::03 Supermarket_4,supermarket
ぶどう,,grape,,Genki 1::L08::03 Supermarket_5,supermarket
にんじん,,carrot,,Genki 1::L08::03 Supermarket_6,supermarket
たまねぎ,,onion,,Genki 1::L08::03 Supermarket_7,supermarket
じゃがいも,,potato,,Genki 1::L08::03 Supermarket_8,supermarket
なす,,eggplant,,Genki 1::L08::03 Supermarket_9,supermarket
きゅうり,,cucumber,,Genki 1::L08::03 Supermarket_10,supermarket
キャベツ,,cabbage,,Genki 1::L08::03 Supermarket_11,supermarket
ぎゅうにく,牛肉,beef,Cow - Meat,Genki 1::L08::03 Supermarket_12,supermarket
